,el_price_eur_kwh,heat_demand_kw,pv_power_kw,cop_t
64,0.10551,466.44,0.0,3.6137712402343776
65,0.11666,466.44,0.0,3.585159179687502
66,0.11506,466.44,0.0,3.5653251953125027
67,0.11491,436.23,0.0,3.5495561523437527
68,0.1133,436.23,0.0,3.539760009765628
69,0.1077999999999999,436.23,0.0,3.5050249023437527
70,0.09822,442.26,0.0,3.468938476562503
71,0.08857,442.26,0.0,3.4502653808593777
72,0.09043,442.26,0.0,3.4471306152343777
73,0.09029,445.25,0.0,3.444299804687503
74,0.0902,445.25,0.0,3.426721679687503
75,0.0915199999999999,445.25,0.0,3.424392578125002
76,0.09595,448.27,0.0,3.406400634765628
77,0.10211,448.27,0.0,3.410948974609377
78,0.11066,448.27,0.0,3.3934587402343777
79,0.11996,461.2,0.0,3.3807365722656275
80,0.1283899999999999,461.2,0.0,3.3850908203125027
81,0.13075,461.2,0.24948331563906306,3.419379150390628
82,0.13034,437.19,0.66258475944229,3.472113525390628
83,0.12829,437.19,1.1142358719418433,3.4840703125000028
84,0.13003,437.19,0.8857385323877213,3.5348857421875026
85,0.12985,425.47,2.819436962642197,3.5089287109375027
86,0.1364,425.47,1.9949526385743743,3.463536865234378
87,0.13872,425.47,2.7081235164278685,3.375041992187503
88,0.142,460.19,0.015880484847741603,3.3426762695312457
89,0.15124,460.19,0.0,3.329229003906253
90,0.14385,460.19,0.0,3.3178032226562526
91,0.13796,449.26,0.0,3.333938476562502
92,0.12949,449.26,0.0,3.393810302734378
93,0.12283,449.26,0.0,3.4517814941406275
94,0.11829,465.34,0.0,3.4661882324218776
95,0.1094899999999999,465.34,0.0,3.453114501953128
96,0.11384,465.34,0.0,3.474248535156253
97,0.10033,464.26,0.0,3.443259765625003
98,0.09361,464.26,0.0,3.4145524902343776
99,0.09387,464.26,0.0,3.4111650390625026
100,0.08938,480.26,0.0,3.4227116699218776
101,0.08355,480.26,0.0,3.476537353515628
102,0.08392,480.26,0.0,3.5307878417968777
103,0.08253,463.21,0.0,3.4638225097656274
104,0.08405,463.21,0.0,3.4205986328125024
105,0.08915,463.21,0.3180897842003092,3.442263671875003
106,0.08295,379.32,0.6603823644359662,3.458560058593753
107,0.08882,379.32,0.8281099872301333,3.4705791015625027
108,0.08166,379.32,0.8689522224269409,3.473585693359378
109,0.07839,223.3,0.8643051864094666,3.456893798828128
110,0.068,223.3,0.41621668930378397,3.4331523437500024
111,0.05064,223.3,0.37483059343504826,3.3826005859375026
112,0.0499099999999999,194.58,0.0,3.326321289062503
113,0.0663,194.58,0.0,3.301825439453128
114,0.06505,194.58,0.0,3.3402995605468777
115,0.05128,187.19,0.0,3.3242558593750027
116,0.03685,187.19,0.0,3.298437988281246
117,0.0368,187.19,0.0,3.273301269531246
118,0.03468,195.41,0.0,3.255052978515628
119,0.02814,195.41,0.0,3.247600585937503
120,0.02752,195.41,0.0,3.251559326171878
121,0.01926,194.34,0.0,3.2481279296875027
122,0.0113499999999999,194.34,0.0,3.236522705078128
123,0.0092,194.34,0.0,3.2069291992187527
124,0.01,212.03,0.0,3.1610356445312457
125,0.01481,212.03,0.0,3.1330241699218777
126,0.02382,212.03,0.0,3.1384477539062527
127,0.03172,265.19,0.0,3.0972893066406275
128,0.04137,265.19,0.0,3.0742802734375028
129,0.0363599999999999,265.19,0.06957145422779279,3.0596391601562525
130,0.03469,245.91,0.28169310269616543,3.036663085937503
131,0.03283,245.91,0.4680493628220907,3.0188066406250025
132,0.03128,245.91,0.5179695196645359,2.9941862792968776
133,0.0286,234.73,0.47695682013585594,2.9698881835937527
134,0.02561,234.73,0.3933537704283568,2.9309343261718777
135,0.02632,234.73,0.18320737119522754,2.879796630859377
136,0.02687,318.23,0.0,2.8435673828125028
137,0.03166,318.23,0.0,2.8112968750000027
138,0.03158,318.23,0.0,2.783992106119793
139,0.0287399999999999,315.51,0.0,2.7720393880208345
140,0.02659,315.51,0.0,2.7620825195312517
141,0.01382,315.51,0.0,2.75123250325521
142,0.02694,325.7,0.0,2.743409830729168
143,0.01299,325.7,0.0,2.7343115234375013
144,0.01907,325.7,0.0,2.725483805338543
145,0.00871,365.22,0.0,2.718959147135418
146,0.0089,365.22,0.0,2.712625732421876
